size,amount,plugins,avg,scatter,median,max,min,packageRoundsAvg
9,1,hiddenPairs,6.07,1.43,6,14,3,2.71
9,1,pointingArrows,7.48,1.45,7,17,4,2.34
9,1,removeByElements,7.27,1.62,7,17,4,2.46
9,2,"hiddenPairs, nakedPairs",5.25,1.10,5,13,3,2.73
9,2,"hiddenPairs, nFish",4.74,1.03,4,12,3,2.76
9,2,"hiddenPairs, pointingArrows",4.15,0.78,4,9,2,2.79
9,2,"hiddenPairs, removeByElements",4.22,0.87,4,10,3,2.78
9,2,"nakedPairs, pointingArrows",5.58,1.13,5,12,3,2.78
9,2,"nakedPairs, removeByElements",5.32,1.11,5,12,3,2.76
9,2,"nFish, pointingArrows",7.26,1.53,7,15,4,2.42
9,2,"nFish, removeByElements",5.69,1.35,5,12,3,2.60
9,2,"pointingArrows, removeByElements",4.74,1.02,4,11,3,2.61
9,2,hiddenPairs,4.58,1.02,4,13,2,2.76
9,2,nakedPairs,5.38,1.12,5,13,3,2.76
9,2,nFish,5.61,1.47,5,15,3,2.63
9,2,pointingArrows,5.18,1.30,5,15,2,2.69
9,2,removeByElements,4.96,1.11,5,12,3,2.70
9,3,"hiddenPairs, nakedPairs, pointingArrows",3.59,0.66,3,8,2,2.79
9,3,"hiddenPairs, nakedPairs, removeByElements",3.62,0.70,3,8,2,2.78
9,3,"hiddenPairs, nFish, nakedPairs",4.24,0.82,4,10,3,2.77
9,3,"hiddenPairs, nFish, pointingArrows",3.68,0.67,4,7,2,2.79
9,3,"hiddenPairs, nFish, removeByElements",3.62,0.69,3,8,2,2.78
9,3,"hiddenPairs, pointingArrows, removeByElements",3.43,0.67,3,7,2,2.79
9,3,"nakedPairs, pointingArrows, removeByElements",4.08,0.71,4,9,3,2.78
9,3,"nFish, nakedPairs, pointingArrows",5.13,0.87,5,12,3,2.79
9,3,"nFish, nakedPairs, removeByElements",4.55,0.81,4,9,3,2.78
9,3,"nFish, pointingArrows, removeByElements",4.39,0.88,4,10,3,2.62
9,3,hiddenPairs,3.70,0.72,4,10,2,2.78
9,3,nakedPairs,4.20,0.85,4,12,2,2.78
9,3,nFish,4.27,0.88,4,12,2,2.76
9,3,pointingArrows,4.04,0.81,4,12,2,2.77
9,3,removeByElements,3.93,0.75,4,10,2,2.76
9,4,"hiddenPairs, nakedPairs, pointingArrows, removeByElements",3.09,0.47,3,7,2,2.79
9,4,"hiddenPairs, nFish, nakedPairs, pointingArrows",3.25,0.48,3,7,2,2.79
9,4,"hiddenPairs, nFish, nakedPairs, removeByElements",3.25,0.52,3,7,2,2.79
9,4,"hiddenPairs, nFish, pointingArrows, removeByElements",3.13,0.51,3,7,2,2.79
9,4,"nFish, nakedPairs, pointingArrows, removeByElements",3.80,0.64,4,8,3,2.79
9,4,hiddenPairs,3.18,0.50,3,7,2,2.79
9,4,nakedPairs,3.35,0.61,3,8,2,2.79
9,4,nFish,3.36,0.61,3,8,2,2.79
9,4,pointingArrows,3.32,0.61,3,8,2,2.79
9,4,removeByElements,3.32,0.62,3,8,2,2.79
9,5,"hiddenPairs, nFish, nakedPairs, pointingArrows, removeByElements",2.79,0.50,3,6,2,2.79
9,5,hiddenPairs,2.79,0.50,3,6,2,2.79
9,5,nakedPairs,2.79,0.50,3,6,2,2.79
9,5,nFish,2.79,0.50,3,6,2,2.79
9,5,pointingArrows,2.79,0.50,3,6,2,2.79
9,5,removeByElements,2.79,0.50,3,6,2,2.79
16,1,hiddenPairs,11.94,2.55,11,25,6,3.51
16,1,pointingArrows,12.56,1.70,13,16,10,2.89
16,1,removeByElements,13.76,2.91,13,28,7,3.22
16,2,"hiddenPairs, nakedPairs",9.76,2.11,9,25,4,3.65
16,2,"hiddenPairs, nFish",8.78,1.89,8,20,4,3.62
16,2,"hiddenPairs, pointingArrows",6.22,1.27,6,22,4,3.99
16,2,"hiddenPairs, removeByElements",6.21,1.18,6,23,4,3.88
16,2,"nakedPairs, pointingArrows",8.20,1.50,8,23,5,3.78
16,2,"nakedPairs, removeByElements",8.03,1.54,8,19,4,3.67
16,2,"nFish, pointingArrows",12.15,2.08,11.5,17,9,2.95
16,2,"nFish, removeByElements",9.66,2.08,9,22,5,3.46
16,2,"pointingArrows, removeByElements",7.62,1.47,7,17,4,3.50
16,2,hiddenPairs,7.50,2.10,7,25,4,3.81
16,2,nakedPairs,8.61,1.82,8,25,4,3.71
16,2,nFish,9.14,1.99,9,22,4,3.55
16,2,pointingArrows,7.28,1.65,7,23,4,3.81
16,2,removeByElements,7.56,1.82,7,23,4,3.68
16,3,"hiddenPairs, nakedPairs, pointingArrows",5.41,1.14,5,19,3,4.07
16,3,"hiddenPairs, nakedPairs, removeByElements",5.30,0.98,5,19,3,3.93
16,3,"hiddenPairs, nFish, nakedPairs",7.59,1.62,7,18,4,3.71
16,3,"hiddenPairs, nFish, pointingArrows",5.55,1.18,5,19,3,4.05
16,3,"hiddenPairs, nFish, removeByElements",5.27,0.98,5,17,3,3.93
16,3,"hiddenPairs, pointingArrows, removeByElements",5.02,1.00,5,18,3,4.03
16,3,"nakedPairs, pointingArrows, removeByElements",5.67,1.01,5,17,4,3.80
16,3,"nFish, nakedPairs, pointingArrows",7.56,1.33,7,24,4,3.82
16,3,"nFish, nakedPairs, removeByElements",6.30,1.12,6,20,4,3.80
16,3,"nFish, pointingArrows, removeByElements",6.88,1.28,7,15,4,3.53
16,3,hiddenPairs,5.64,1.35,5,19,3,3.96
16,3,nakedPairs,6.26,1.44,6,24,3,3.86
16,3,nFish,6.45,1.51,6,24,3,3.83
16,3,pointingArrows,5.93,1.39,5,24,3,3.92
16,3,removeByElements,5.64,1.20,5,20,3,3.86
16,4,"hiddenPairs, nakedPairs, pointingArrows, removeByElements",4.54,0.96,4,14,3,4.09
